# 생성기: scripts/gen_bronze_exposure_audit.py | 러너: scripts/run_bronze_audit_host.py | 감사일: 2026-09-03
# 자동 생성물 — 생성기 scripts/gen_bronze_exposure_audit.py(+러너 scripts/run_bronze_audit_host.py) 재실행으로 갱신. 직접 편집 금지.

원천시스템,BRONZE_테이블,BRONZE_컬럼,데이터타입,판정,신뢰도,비고
AGENCY,DGT_AD_CMPGN_DTLS,CRM_DVLP_CNT,FLOAT,노출됨(GOLD),높음,개명 적재 → GOLD `CRM_DEV_CNT` (FACT_AD_DIGITAL.sql)
AGENCY,DGT_AD_CMPGN_DTLS,AD_GRP_NM,TEXT,노출됨(GOLD),높음,개명 적재 → GOLD `AD_GROUP_NM` (FACT_AD_DIGITAL.sql)
AGENCY,DGT_AD_CMPGN_DTLS,GRP_DIV_NM,TEXT,노출됨(GOLD),높음,개명 적재 → GOLD `GROUP_DIV` (FACT_AD_DIGITAL.sql)
AGENCY,REBRDC_AD_CMPGN_DTLS,RE_BRDC_TY_NM,TEXT,노출됨(GOLD),높음,개명 적재 → GOLD `RT_TYPE` (FACT_AD_BROADCAST.sql)
AGENCY,REBRDC_AD_CMPGN_DTLS,DIV_NM,TEXT,판정보류(동명이의),낮음(일반명 충돌),동명 GOLD/SILVER 컬럼이 있으나 계보 무관 가능 — 실측 필요(P14)
AGENCY,REBRDC_AD_CMPGN_DTLS,YEAR,TEXT,대체노출(파생),높음,DATE 파생(YEAR(AD_DATE)) 로 대체 — 텍스트 파싱 금지 원칙
AGENCY,REBRDC_AD_CMPGN_DTLS,BRDC_MT,TEXT,대체노출(파생),높음,DATE 파생(MONTH) 로 대체
AGENCY,REBRDC_AD_CMPGN_DTLS,CHNNL_CMPNY,TEXT,노출됨(GOLD),높음,개명 적재 → GOLD `CHANNEL_COMPANY` (FACT_AD_BROADCAST.sql)
AGENCY,REBRDC_AD_CMPGN_DTLS,BRDC_NM,TEXT,노출됨(GOLD),높음,개명 적재 → GOLD `PROGRAM_NM` (FACT_AD_BROADCAST.sql)
AGENCY,REBRDC_AD_CMPGN_DTLS,BRDC_DIV_NM,TEXT,노출됨(GOLD),높음,개명 적재 → GOLD `BRDC_DIV` (FACT_AD_BROADCAST.sql)
AGENCY,REBRDC_AD_CMPGN_DTLS,DATE,DATE,노출됨(GOLD),높음,개명 적재 → GOLD `BROADCAST_DATE` (FACT_AD_BROADCAST.sql)
AGENCY,REBRDC_AD_CMPGN_DTLS,DOW,TEXT,대체노출(파생),높음,DATE 파생(DAYNAME) 로 대체
AGENCY,REBRDC_AD_CMPGN_DTLS,BRDC_TIME,TEXT,노출됨(GOLD),높음,개명 적재 → GOLD `TIME_BAND` (FACT_AD_BROADCAST.sql)
AGENCY,REBRDC_AD_CMPGN_DTLS,INBOUND_CALL_CNT,TEXT,노출됨(GOLD),높음,동명 GOLD 컬럼 + 실적재 projection 확인
AGENCY,REBRDC_AD_CMPGN_DTLS,DVLP_MBER_CNT,FLOAT,노출됨(GOLD),높음,개명 적재 → GOLD `DVLP_MEMBER_CNT` (FACT_AD_BROADCAST.sql)
AGENCY,REBRDC_AD_CMPGN_DTLS,DVLP_CNT,FLOAT,노출됨(GOLD),높음,개명 적재 → GOLD `DVLP_CNT` (FACT_AD_BROADCAST.sql)
AGENCY,REBRDC_AD_CMPGN_DTLS,BRDC_SCHDL_COST,FLOAT,노출됨(GOLD),높음,개명 적재 → GOLD `AD_COST` (FACT_AD_PERFORMANCE.sql)
AGENCY,REBRDC_AD_CMPGN_DTLS,WEEK,TEXT,대체노출(파생),높음,DATE 파생(WEEKOFYEAR) 로 대체
AGENCY,REBRDC_AD_CMPGN_DTLS,AD_CNT,FLOAT,노출됨(GOLD),높음,동명 GOLD 컬럼 + 실적재 projection 확인
AGENCY,REBRDC_AD_CMPGN_DTLS,TIME_RNG_DIV_NM,TEXT,노출됨(GOLD),높음,개명 적재 → GOLD `TIME_BAND` (FACT_AD_BROADCAST.sql)
AGENCY,REBRDC_AD_CMPGN_DTLS,CELEB_NM,TEXT,SILVER까지만,높음,GOLD 미승격
AGENCY,REBRDC_AD_CMPGN_DTLS,DMST_OVSEA_DIV_NM,TEXT,SILVER까지만,높음,GOLD 미승격
AGENCY,REBRDC_AD_CMPGN_DTLS,CASE1_BSNS_DIV_NM,TEXT,노출됨(GOLD),높음,개명 적재 → GOLD `BIZ_DIV` (FACT_AD_BROADCAST_CASE.sql)
AGENCY,REBRDC_AD_CMPGN_DTLS,CASE1_FAM_TY_NM,TEXT,노출됨(GOLD),높음,개명 적재 → GOLD `FAMILY_TYPE` (FACT_AD_BROADCAST_CASE.sql)
AGENCY,REBRDC_AD_CMPGN_DTLS,CASE1_APPEAL_POINT_NM,TEXT,노출됨(GOLD),높음,개명 적재 → GOLD `APPEAL_POINT` (FACT_AD_BROADCAST_CASE.sql)
AGENCY,REBRDC_AD_CMPGN_DTLS,CASE1_CHILD_NM,TEXT,SILVER까지만,높음,GOLD 미승격
AGENCY,REBRDC_AD_CMPGN_DTLS,CASE1_CASE_DIV_NM,TEXT,노출됨(GOLD),높음,개명 적재 → GOLD `CASE_DIV` (FACT_AD_BROADCAST_CASE.sql)
AGENCY,REBRDC_AD_CMPGN_DTLS,CASE2_BSNS_DIV_NM,TEXT,노출됨(GOLD),높음,개명 적재 → GOLD `BIZ_DIV` (FACT_AD_BROADCAST_CASE.sql)
AGENCY,REBRDC_AD_CMPGN_DTLS,CASE2_FAM_TY_NM,TEXT,노출됨(GOLD),높음,개명 적재 → GOLD `FAMILY_TYPE` (FACT_AD_BROADCAST_CASE.sql)
AGENCY,REBRDC_AD_CMPGN_DTLS,CASE2_APPEAL_POINT_NM,TEXT,노출됨(GOLD),높음,개명 적재 → GOLD `APPEAL_POINT` (FACT_AD_BROADCAST_CASE.sql)
AGENCY,REBRDC_AD_CMPGN_DTLS,CASE2_CHILD_NM,TEXT,SILVER까지만,높음,GOLD 미승격
AGENCY,REBRDC_AD_CMPGN_DTLS,CASE2_CASE_DIV_NM,TEXT,노출됨(GOLD),높음,개명 적재 → GOLD `CASE_DIV` (FACT_AD_BROADCAST_CASE.sql)
AGENCY,REBRDC_AD_CMPGN_DTLS,CASE3_BSNS_DIV_NM,TEXT,노출됨(GOLD),높음,개명 적재 → GOLD `BIZ_DIV` (FACT_AD_BROADCAST_CASE.sql)
AGENCY,REBRDC_AD_CMPGN_DTLS,CASE3_FAM_TY_NM,TEXT,노출됨(GOLD),높음,개명 적재 → GOLD `FAMILY_TYPE` (FACT_AD_BROADCAST_CASE.sql)
AGENCY,REBRDC_AD_CMPGN_DTLS,CASE3_APPEAL_POINT_NM,TEXT,노출됨(GOLD),높음,개명 적재 → GOLD `APPEAL_POINT` (FACT_AD_BROADCAST_CASE.sql)
AGENCY,REBRDC_AD_CMPGN_DTLS,CASE3_CHILD_NM,TEXT,SILVER까지만,높음,GOLD 미승격
AGENCY,REBRDC_AD_CMPGN_DTLS,CASE3_CASE_DIV_NM,TEXT,노출됨(GOLD),높음,개명 적재 → GOLD `CASE_DIV` (FACT_AD_BROADCAST_CASE.sql)
AGENCY,SYNC_ERR_INFO,ERR_SEQ,NUMBER,미노출(검토대상),낮음(이름기반·P13),개명·VARIANT param 승격 가능성 — 확정 아님
AGENCY,SYNC_ERR_INFO,ERR_DATETIME,TIMESTAMP_NTZ,미노출(검토대상),낮음(이름기반·P13),개명·VARIANT param 승격 가능성 — 확정 아님
AGENCY,SYNC_ERR_INFO,DATA_TYPE,TEXT,미노출(검토대상),낮음(이름기반·P13),개명·VARIANT param 승격 가능성 — 확정 아님
AGENCY,SYNC_ERR_INFO,ERR_INFO,TEXT,미노출(검토대상),낮음(이름기반·P13),개명·VARIANT param 승격 가능성 — 확정 아님
AGENCY,VIDEO_AD_CMPGN_DTLS,CHNNL_NM,TEXT,노출됨(GOLD),높음,개명 적재 → GOLD `CHANNEL_COMPANY` (FACT_AD_BROADCAST.sql)
AGENCY,VIDEO_AD_CMPGN_DTLS,DOW,TEXT,대체노출(파생),높음,DATE 파생(DAYNAME) 로 대체
AGENCY,VIDEO_AD_CMPGN_DTLS,BRDC_DATE,DATE,노출됨(GOLD),높음,개명 적재 → GOLD `BROADCAST_DATE` (FACT_AD_BROADCAST.sql)
AGENCY,VIDEO_AD_CMPGN_DTLS,TIME_RNG,TEXT,노출됨(GOLD),높음,개명 적재 → GOLD `TIME_BAND` (FACT_AD_BROADCAST.sql)
AGENCY,VIDEO_AD_CMPGN_DTLS,DAY_DIV_NM,TEXT,노출됨(GOLD),높음,개명 적재 → GOLD `DAY_DIV` (FACT_AD_BROADCAST.sql)
AGENCY,VIDEO_AD_CMPGN_DTLS,PRG_STRT_TIME,TEXT,노출됨(GOLD),높음,개명 적재 → GOLD `PRG_START_TIME` (FACT_AD_BROADCAST.sql)
AGENCY,VIDEO_AD_CMPGN_DTLS,SCHDL_NM,TEXT,노출됨(GOLD),높음,개명 적재 → GOLD `PROGRAM_NM` (FACT_AD_BROADCAST.sql)
AGENCY,VIDEO_AD_CMPGN_DTLS,CM,TEXT,판정보류(동명이의),낮음(일반명 충돌),동명 GOLD/SILVER 컬럼이 있으나 계보 무관 가능 — 실측 필요(P14)
AGENCY,VIDEO_AD_CMPGN_DTLS,CM_AREA,TEXT,노출됨(GOLD),높음,개명 적재 → GOLD `CM_POSITION` (FACT_AD_BROADCAST.sql)
AGENCY,VIDEO_AD_CMPGN_DTLS,AD_STRT_TIME,TEXT,노출됨(GOLD),높음,개명 적재 → GOLD `AD_START_TIME` (FACT_AD_BROADCAST.sql)
AGENCY,VIDEO_AD_CMPGN_DTLS,AD_END_TIME,TEXT,노출됨(GOLD),높음,동명 GOLD 컬럼 + 실적재 projection 확인
AGENCY,VIDEO_AD_CMPGN_DTLS,SPOT_TY,TEXT,노출됨(GOLD),높음,개명 적재 → GOLD `SPOT_TYPE` (FACT_AD_BROADCAST.sql)
AGENCY,VIDEO_AD_CMPGN_DTLS,AD_VIEW_RT,FLOAT,노출됨(GOLD),높음,개명 적재 → GOLD `AD_VIEW_RT_SRC` (FACT_AD_BROADCAST.sql)
AGENCY,VIDEO_AD_CMPGN_DTLS,AD_CNT,NUMBER,노출됨(GOLD),높음,동명 GOLD 컬럼 + 실적재 projection 확인
AGENCY,VIDEO_AD_CMPGN_DTLS,AD_SEC,TEXT,노출됨(GOLD),높음,개명 적재 → GOLD `DURATION_SEC` (FACT_AD_BROADCAST.sql)
AGENCY,VIDEO_AD_CMPGN_DTLS,ACTL_PUR_AD_COST_KRW,NUMBER,노출됨(GOLD),높음,개명 적재 → GOLD `AD_COST` (FACT_AD_PERFORMANCE.sql)
AGENCY,VIDEO_AD_CMPGN_DTLS,INBOUND_CALL_CNT,NUMBER,노출됨(GOLD),높음,동명 GOLD 컬럼 + 실적재 projection 확인
AGENCY,VIDEO_AD_CMPGN_DTLS,CPC,TEXT,노출됨(GOLD),높음,개명 적재 → GOLD `CPC_SRC` (FACT_AD_BROADCAST.sql)
AGENCY,VIDEO_AD_CMPGN_DTLS,UPPER_CMPGN_NM,TEXT,SILVER까지만,높음,GOLD 미승격
AGENCY,VIDEO_AD_CMPGN_DTLS,MATR_NM,TEXT,SILVER까지만,높음,GOLD 미승격
AGENCY,VIDEO_AD_CMPGN_DTLS,CMPGN_TY_NM,TEXT,SILVER까지만,높음,GOLD 미승격
AGENCY,VIDEO_AD_CMPGN_DTLS,DUR_PD_MATR_CHN,TEXT,SILVER까지만,높음,GOLD 미승격
AGENCY,VIDEO_AD_CMPGN_DTLS,CHNNL_CMPNY_TY_NM,TEXT,노출됨(GOLD),높음,개명 적재 → GOLD `CHANNEL_COMPANY_TYPE` (FACT_AD_BROADCAST.sql)
AGENCY,VIDEO_AD_CMPGN_DTLS,WEEK,TEXT,대체노출(파생),높음,DATE 파생(WEEKOFYEAR) 로 대체
AGENCY,VIDEO_AD_CMPGN_DTLS,CONV_CALL_CNT,FLOAT,노출됨(GOLD),높음,개명 적재 → GOLD `CONV_CALL_CNT` (FACT_AD_BROADCAST.sql)
AGENCY,VIDEO_AD_CMPGN_DTLS,BRDC_MT,TEXT,대체노출(파생),높음,DATE 파생(MONTH) 로 대체
AGENCY,VIDEO_AD_CMPGN_DTLS,YEAR,TEXT,대체노출(파생),높음,DATE 파생(YEAR(AD_DATE)) 로 대체 — 텍스트 파싱 금지 원칙
AGENCY,VIDEO_AD_CMPGN_DTLS,CTV_DIV_NM,TEXT,노출됨(GOLD),높음,개명 적재 → GOLD `CTV_DIV` (FACT_AD_BROADCAST.sql)
AGENCY,VIDEO_AD_CMPGN_DTLS,MKT_CMPGN_NM,TEXT,SILVER까지만,높음,GOLD 미승격
AGENCY,VIDEO_AD_CMPGN_DTLS,SPNSR_BSNS_NM,TEXT,판정보류(동명이의),낮음(일반명 충돌),동명 GOLD/SILVER 컬럼이 있으나 계보 무관 가능 — 실측 필요(P14)
AGENCY,VIDEO_AD_CMPGN_DTLS,DMST_OVSEA_DIV_NM,TEXT,SILVER까지만,높음,GOLD 미승격
AGENCY,VIDEO_AD_CMPGN_DTLS,BSNS_CASE_DIV_NM,TEXT,SILVER까지만,높음,GOLD 미승격
BIGQUERY,BQ_202401,event_date,TEXT,SILVER까지만,높음,GOLD 미승격
BIGQUERY,BQ_202401,event_timestamp,NUMBER,SILVER까지만,높음,GOLD 미승격
BIGQUERY,BQ_202401,event_name,TEXT,판정보류(동명이의),낮음(일반명 충돌),동명 GOLD/SILVER 컬럼이 있으나 계보 무관 가능 — 실측 필요(P14)
BIGQUERY,BQ_202401,event_params,VARIANT,SILVER까지만,중간(SQL참조),SILVER SQL 토큰 참조
BIGQUERY,BQ_202401,event_previous_timestamp,NUMBER,미노출(검토대상),낮음(이름기반·P13),개명·VARIANT param 승격 가능성 — 확정 아님
BIGQUERY,BQ_202401,event_value_in_usd,FLOAT,SILVER까지만,높음,GOLD 미승격
BIGQUERY,BQ_202401,event_bundle_sequence_id,NUMBER,SILVER까지만,높음,GOLD 미승격
BIGQUERY,BQ_202401,event_server_timestamp_offset,NUMBER,미노출(검토대상),낮음(이름기반·P13),개명·VARIANT param 승격 가능성 — 확정 아님
BIGQUERY,BQ_202401,user_id,TEXT,SILVER까지만,높음,GOLD 미승격
BIGQUERY,BQ_202401,user_pseudo_id,TEXT,SILVER까지만,높음,GOLD 미승격
BIGQUERY,BQ_202401,privacy_info,VARIANT,미노출(검토대상),낮음(이름기반·P13),개명·VARIANT param 승격 가능성 — 확정 아님
BIGQUERY,BQ_202401,user_properties,VARIANT,미노출(검토대상),낮음(이름기반·P13),개명·VARIANT param 승격 가능성 — 확정 아님
BIGQUERY,BQ_202401,user_first_touch_timestamp,NUMBER,SILVER까지만,높음,GOLD 미승격
BIGQUERY,BQ_202401,user_ltv,VARIANT,미노출(검토대상),낮음(이름기반·P13),개명·VARIANT param 승격 가능성 — 확정 아님
BIGQUERY,BQ_202401,device,VARIANT,SILVER까지만,높음,GOLD 미승격
BIGQUERY,BQ_202401,geo,VARIANT,미노출(검토대상),낮음(이름기반·P13),개명·VARIANT param 승격 가능성 — 확정 아님
BIGQUERY,BQ_202401,app_info,NUMBER,미노출(검토대상),낮음(이름기반·P13),개명·VARIANT param 승격 가능성 — 확정 아님
BIGQUERY,BQ_202401,traffic_source,VARIANT,SILVER까지만,중간(SQL참조),SILVER SQL 토큰 참조
BIGQUERY,BQ_202401,stream_id,TEXT,SILVER까지만,높음,GOLD 미승격
BIGQUERY,BQ_202401,platform,TEXT,판정보류(동명이의),낮음(일반명 충돌),동명 GOLD/SILVER 컬럼이 있으나 계보 무관 가능 — 실측 필요(P14)
BIGQUERY,BQ_202401,event_dimensions,NUMBER,미노출(검토대상),낮음(이름기반·P13),개명·VARIANT param 승격 가능성 — 확정 아님
BIGQUERY,BQ_202401,ecommerce,VARIANT,미노출(검토대상),낮음(이름기반·P13),개명·VARIANT param 승격 가능성 — 확정 아님
BIGQUERY,BQ_202401,items,VARIANT,SILVER까지만,높음,GOLD 미승격
BIGQUERY,BQ_202401,collected_traffic_source,VARIANT,미노출(검토대상),낮음(이름기반·P13),개명·VARIANT param 승격 가능성 — 확정 아님
BIGQUERY,BQ_202401,is_active_user,BOOLEAN,SILVER까지만,높음,GOLD 미승격
BIGQUERY,BQ_202401,batch_event_index,NUMBER,SILVER까지만,높음,GOLD 미승격
BIGQUERY,BQ_202401,batch_page_id,NUMBER,미노출(검토대상),낮음(이름기반·P13),개명·VARIANT param 승격 가능성 — 확정 아님
BIGQUERY,BQ_202401,batch_ordering_id,NUMBER,SILVER까지만,높음,GOLD 미승격
BIGQUERY,BQ_202401,session_traffic_source_last_click,VARIANT,SILVER까지만,중간(SQL참조),SILVER SQL 토큰 참조
BIGQUERY,BQ_202401,publisher,NUMBER,미노출(검토대상),낮음(이름기반·P13),개명·VARIANT param 승격 가능성 — 확정 아님
BIGQUERY,BQ_202401,event_original_occurrence_timestamp,NUMBER,미노출(검토대상),낮음(이름기반·P13),개명·VARIANT param 승격 가능성 — 확정 아님
BIGQUERY,BQ_202402,event_date,TEXT,SILVER까지만,높음,GOLD 미승격
BIGQUERY,BQ_202402,event_timestamp,NUMBER,SILVER까지만,높음,GOLD 미승격
BIGQUERY,BQ_202402,event_name,TEXT,판정보류(동명이의),낮음(일반명 충돌),동명 GOLD/SILVER 컬럼이 있으나 계보 무관 가능 — 실측 필요(P14)
BIGQUERY,BQ_202402,event_params,VARIANT,SILVER까지만,중간(SQL참조),SILVER SQL 토큰 참조
BIGQUERY,BQ_202402,event_previous_timestamp,NUMBER,미노출(검토대상),낮음(이름기반·P13),개명·VARIANT param 승격 가능성 — 확정 아님
BIGQUERY,BQ_202402,event_value_in_usd,FLOAT,SILVER까지만,높음,GOLD 미승격
BIGQUERY,BQ_202402,event_bundle_sequence_id,NUMBER,SILVER까지만,높음,GOLD 미승격
BIGQUERY,BQ_202402,event_server_timestamp_offset,NUMBER,미노출(검토대상),낮음(이름기반·P13),개명·VARIANT param 승격 가능성 — 확정 아님
BIGQUERY,BQ_202402,user_id,TEXT,SILVER까지만,높음,GOLD 미승격
BIGQUERY,BQ_202402,user_pseudo_id,TEXT,SILVER까지만,높음,GOLD 미승격
BIGQUERY,BQ_202402,privacy_info,VARIANT,미노출(검토대상),낮음(이름기반·P13),개명·VARIANT param 승격 가능성 — 확정 아님
BIGQUERY,BQ_202402,user_properties,VARIANT,미노출(검토대상),낮음(이름기반·P13),개명·VARIANT param 승격 가능성 — 확정 아님
BIGQUERY,BQ_202402,user_first_touch_timestamp,NUMBER,SILVER까지만,높음,GOLD 미승격
BIGQUERY,BQ_202402,user_ltv,VARIANT,미노출(검토대상),낮음(이름기반·P13),개명·VARIANT param 승격 가능성 — 확정 아님
BIGQUERY,BQ_202402,device,VARIANT,SILVER까지만,높음,GOLD 미승격
BIGQUERY,BQ_202402,geo,VARIANT,미노출(검토대상),낮음(이름기반·P13),개명·VARIANT param 승격 가능성 — 확정 아님
BIGQUERY,BQ_202402,app_info,NUMBER,미노출(검토대상),낮음(이름기반·P13),개명·VARIANT param 승격 가능성 — 확정 아님
BIGQUERY,BQ_202402,traffic_source,VARIANT,SILVER까지만,중간(SQL참조),SILVER SQL 토큰 참조
BIGQUERY,BQ_202402,stream_id,TEXT,SILVER까지만,높음,GOLD 미승격
BIGQUERY,BQ_202402,platform,TEXT,판정보류(동명이의),낮음(일반명 충돌),동명 GOLD/SILVER 컬럼이 있으나 계보 무관 가능 — 실측 필요(P14)
BIGQUERY,BQ_202402,event_dimensions,NUMBER,미노출(검토대상),낮음(이름기반·P13),개명·VARIANT param 승격 가능성 — 확정 아님
BIGQUERY,BQ_202402,ecommerce,VARIANT,미노출(검토대상),낮음(이름기반·P13),개명·VARIANT param 승격 가능성 — 확정 아님
BIGQUERY,BQ_202402,items,VARIANT,SILVER까지만,높음,GOLD 미승격
BIGQUERY,BQ_202402,collected_traffic_source,VARIANT,미노출(검토대상),낮음(이름기반·P13),개명·VARIANT param 승격 가능성 — 확정 아님
BIGQUERY,BQ_202402,is_active_user,BOOLEAN,SILVER까지만,높음,GOLD 미승격
BIGQUERY,BQ_202402,batch_event_index,NUMBER,SILVER까지만,높음,GOLD 미승격
BIGQUERY,BQ_202402,batch_page_id,NUMBER,미노출(검토대상),낮음(이름기반·P13),개명·VARIANT param 승격 가능성 — 확정 아님
BIGQUERY,BQ_202402,batch_ordering_id,NUMBER,SILVER까지만,높음,GOLD 미승격
BIGQUERY,BQ_202402,session_traffic_source_last_click,VARIANT,SILVER까지만,중간(SQL참조),SILVER SQL 토큰 참조
BIGQUERY,BQ_202402,publisher,NUMBER,미노출(검토대상),낮음(이름기반·P13),개명·VARIANT param 승격 가능성 — 확정 아님
BIGQUERY,BQ_202402,event_original_occurrence_timestamp,NUMBER,미노출(검토대상),낮음(이름기반·P13),개명·VARIANT param 승격 가능성 — 확정 아님
BIGQUERY,BQ_202403,event_date,TEXT,SILVER까지만,높음,GOLD 미승격
BIGQUERY,BQ_202403,event_timestamp,NUMBER,SILVER까지만,높음,GOLD 미승격
BIGQUERY,BQ_202403,event_name,TEXT,판정보류(동명이의),낮음(일반명 충돌),동명 GOLD/SILVER 컬럼이 있으나 계보 무관 가능 — 실측 필요(P14)
BIGQUERY,BQ_202403,event_params,VARIANT,SILVER까지만,중간(SQL참조),SILVER SQL 토큰 참조
BIGQUERY,BQ_202403,event_previous_timestamp,NUMBER,미노출(검토대상),낮음(이름기반·P13),개명·VARIANT param 승격 가능성 — 확정 아님
BIGQUERY,BQ_202403,event_value_in_usd,FLOAT,SILVER까지만,높음,GOLD 미승격
BIGQUERY,BQ_202403,event_bundle_sequence_id,NUMBER,SILVER까지만,높음,GOLD 미승격
