테이블명,테이블 한글명,GRAIN,테이블유형,컬럼명,컬럼 한글명,타입,NULLABLE,키,FK_타깃,설명,주의_제약(DDL)
AGENCY_AD_BROADCAST,방송광고 고유속성 위성,AD_PERF_DK (코어 1:1),광고,CONV_CALL_CNT,전환콜,FLOAT,Y,,,전환콜 [VIDEO 전용],
AGENCY_AD_BROADCAST,방송광고 고유속성 위성,AD_PERF_DK (코어 1:1),광고,DVLP_MEMBER_CNT,개발회원수,FLOAT,Y,,,개발회원수 [REBRDC 전용.,
AGENCY_AD_BROADCAST,방송광고 고유속성 위성,AD_PERF_DK (코어 1:1),광고,DVLP_CNT,개발건수,FLOAT,Y,,,개발건수 [REBRDC 전용.,
AGENCY_AD_BROADCAST,방송광고 고유속성 위성,AD_PERF_DK (코어 1:1),광고,AD_VIEW_RT_SRC,광고시청률,FLOAT,Y,,,[비가산] 광고시청률 [VIDEO 전용],
AGENCY_AD_BROADCAST,방송광고 고유속성 위성,AD_PERF_DK (코어 1:1),광고,CPC_SRC,대행사 산정 CPC,FLOAT,Y,,,[비가산] 대행사 산정 CPC [VIDEO 전용],
AGENCY_AD_BROADCAST,방송광고 고유속성 위성,AD_PERF_DK (코어 1:1),광고,DW_SOURCE_SYSTEM,원천 시스템 식별,VARCHAR,N,,,원천 시스템 식별 (공통감사),공통감사
AGENCY_AD_BROADCAST,방송광고 고유속성 위성,AD_PERF_DK (코어 1:1),광고,DW_SOURCE_TABLE,원천 테이블 식별,VARCHAR,Y,,,원천 테이블 식별 (공통감사),공통감사
AGENCY_AD_BROADCAST,방송광고 고유속성 위성,AD_PERF_DK (코어 1:1),광고,DW_LOAD_TS,최초 적재 시각,TIMESTAMP_NTZ,N,,,최초 적재 시각 (공통감사),공통감사
AGENCY_AD_BROADCAST,방송광고 고유속성 위성,AD_PERF_DK (코어 1:1),광고,DW_UPDATE_TS,최종 갱신 시각,TIMESTAMP_NTZ,Y,,,최종 갱신 시각 (공통감사),공통감사
AGENCY_AD_BROADCAST,방송광고 고유속성 위성,AD_PERF_DK (코어 1:1),광고,DW_BATCH_ID,적재 배치 식별자,VARCHAR,Y,,,적재 배치 식별자 = dbt invocation_id (공통감사),공통감사
AGENCY_AD_BROADCAST_CASE,재방송 사례 언피벗 위성,AD_PERF_DK × CASE_SEQ,광고,AD_PERF_DK,광고성과 불변키,VARCHAR,N,PK,,코어 조인키(1:N),
AGENCY_AD_BROADCAST_CASE,재방송 사례 언피벗 위성,AD_PERF_DK × CASE_SEQ,광고,CASE_SEQ,사례 순번 1~3,"NUMBER(2,0)",N,PK,,사례 순번 1~3,
AGENCY_AD_BROADCAST_CASE,재방송 사례 언피벗 위성,AD_PERF_DK × CASE_SEQ,광고,BIZ_DIV,사업구분,VARCHAR,Y,,,사업구분,
AGENCY_AD_BROADCAST_CASE,재방송 사례 언피벗 위성,AD_PERF_DK × CASE_SEQ,광고,FAMILY_TYPE,가족유형,VARCHAR,Y,,,가족유형,
AGENCY_AD_BROADCAST_CASE,재방송 사례 언피벗 위성,AD_PERF_DK × CASE_SEQ,광고,APPEAL_POINT,어필포인트,VARCHAR,Y,,,어필포인트,
AGENCY_AD_BROADCAST_CASE,재방송 사례 언피벗 위성,AD_PERF_DK × CASE_SEQ,광고,CASE_DIV,사례구분,VARCHAR,Y,,,사례구분,
AGENCY_AD_BROADCAST_CASE,재방송 사례 언피벗 위성,AD_PERF_DK × CASE_SEQ,광고,DW_SOURCE_SYSTEM,원천 시스템 식별,VARCHAR,N,,,원천 시스템 식별 (공통감사),공통감사
AGENCY_AD_BROADCAST_CASE,재방송 사례 언피벗 위성,AD_PERF_DK × CASE_SEQ,광고,DW_SOURCE_TABLE,원천 테이블 식별,VARCHAR,Y,,,원천 테이블 식별 (공통감사),공통감사
AGENCY_AD_BROADCAST_CASE,재방송 사례 언피벗 위성,AD_PERF_DK × CASE_SEQ,광고,DW_LOAD_TS,최초 적재 시각,TIMESTAMP_NTZ,N,,,최초 적재 시각 (공통감사),공통감사
AGENCY_AD_BROADCAST_CASE,재방송 사례 언피벗 위성,AD_PERF_DK × CASE_SEQ,광고,DW_UPDATE_TS,최종 갱신 시각,TIMESTAMP_NTZ,Y,,,최종 갱신 시각 (공통감사),공통감사
AGENCY_AD_BROADCAST_CASE,재방송 사례 언피벗 위성,AD_PERF_DK × CASE_SEQ,광고,DW_BATCH_ID,적재 배치 식별자,VARCHAR,Y,,,적재 배치 식별자 = dbt invocation_id (공통감사),공통감사
AGENCY_AD_CREATIVE,광고 소재/매체 차원,1소재 (CREATIVE_DK),광고,CREATIVE_DK,불변 비즈니스 식별자,VARCHAR,N,PK,,불변 비즈니스 식별자,
AGENCY_AD_CREATIVE,광고 소재/매체 차원,1소재 (CREATIVE_DK),광고,SOURCE_SYSTEM,소스 시스템 (DIGITAL/REBROADCAST/VIDEO),VARCHAR,N,,,소스 시스템 (DIGITAL/REBROADCAST/VIDEO).,
AGENCY_AD_CREATIVE,광고 소재/매체 차원,1소재 (CREATIVE_DK),광고,MEDIA_CHANNEL_NM,매체/채널명,VARCHAR,Y,,,매체/채널명,
AGENCY_AD_CREATIVE,광고 소재/매체 차원,1소재 (CREATIVE_DK),광고,CREATIVE_NM,소재명,VARCHAR,Y,,,소재명,
AGENCY_AD_CREATIVE,광고 소재/매체 차원,1소재 (CREATIVE_DK),광고,CREATIVE_TYPE_NM,소재유형/RT유형/캠페인유형,VARCHAR,Y,,,소재유형/RT유형/캠페인유형,
AGENCY_AD_CREATIVE,광고 소재/매체 차원,1소재 (CREATIVE_DK),광고,CM_AREA_NM,CM위치 (VIDEO),VARCHAR,Y,,,CM위치 (VIDEO),
AGENCY_AD_CREATIVE,광고 소재/매체 차원,1소재 (CREATIVE_DK),광고,AD_SEC_NM,초수 (VIDEO),VARCHAR,Y,,,초수 (VIDEO),
AGENCY_AD_CREATIVE,광고 소재/매체 차원,1소재 (CREATIVE_DK),광고,DW_SOURCE_SYSTEM,원천 시스템 식별,VARCHAR,N,,,원천 시스템 식별 (공통감사),공통감사
AGENCY_AD_CREATIVE,광고 소재/매체 차원,1소재 (CREATIVE_DK),광고,DW_SOURCE_TABLE,원천 테이블 식별,VARCHAR,Y,,,원천 테이블 식별 (공통감사),공통감사
AGENCY_AD_CREATIVE,광고 소재/매체 차원,1소재 (CREATIVE_DK),광고,DW_LOAD_TS,최초 적재 시각,TIMESTAMP_NTZ,N,,,최초 적재 시각 (공통감사),공통감사
AGENCY_AD_CREATIVE,광고 소재/매체 차원,1소재 (CREATIVE_DK),광고,DW_UPDATE_TS,최종 갱신 시각,TIMESTAMP_NTZ,Y,,,최종 갱신 시각 (공통감사),공통감사
AGENCY_AD_CREATIVE,광고 소재/매체 차원,1소재 (CREATIVE_DK),광고,DW_BATCH_ID,적재 배치 식별자,VARCHAR,Y,,,적재 배치 식별자 = dbt invocation_id (공통감사),공통감사
AGENCY_AD_DIGITAL,디지털광고 고유속성 위성,AD_PERF_DK (코어 1:1),광고,AD_PERF_DK,광고성과 불변키,VARCHAR,N,PK,,코어 1:1 조인키(staging 발급값 승계),
AGENCY_AD_DIGITAL,디지털광고 고유속성 위성,AD_PERF_DK (코어 1:1),광고,PAGE_TYPE_NM,페이지유형,VARCHAR,Y,,,페이지유형,
AGENCY_AD_DIGITAL,디지털광고 고유속성 위성,AD_PERF_DK (코어 1:1),광고,AD_GRP_NM,광고그룹명,VARCHAR,Y,,,광고그룹명,
AGENCY_AD_DIGITAL,디지털광고 고유속성 위성,AD_PERF_DK (코어 1:1),광고,GRP_DIV_NM,그룹구분,VARCHAR,Y,,,그룹구분,
AGENCY_AD_DIGITAL,디지털광고 고유속성 위성,AD_PERF_DK (코어 1:1),광고,MATR_TY_NM,소재유형,VARCHAR,Y,,,소재유형,
AGENCY_AD_DIGITAL,디지털광고 고유속성 위성,AD_PERF_DK (코어 1:1),광고,AD_TY_NM,광고유형명(대행사 표기),VARCHAR,Y,,,광고유형명(대행사 표기),
AGENCY_AD_DIGITAL,디지털광고 고유속성 위성,AD_PERF_DK (코어 1:1),광고,READ_CNT,읽음수 (가산),FLOAT,Y,,,읽음수 (가산),
AGENCY_AD_DIGITAL,디지털광고 고유속성 위성,AD_PERF_DK (코어 1:1),광고,MEDIA_PTNT_CUST_CNT,매체 잠재고객수 (가산),FLOAT,Y,,,매체 잠재고객수 (가산),
AGENCY_AD_DIGITAL,디지털광고 고유속성 위성,AD_PERF_DK (코어 1:1),광고,CRM_DVLP_CNT,CRM 개발건수 (가산),FLOAT,Y,,,CRM 개발건수 (가산). [사유:규칙 미확정],
AGENCY_AD_DIGITAL,디지털광고 고유속성 위성,AD_PERF_DK (코어 1:1),광고,CTR_SRC,대행사 산정 CTR,FLOAT,Y,,,[비가산] 대행사 산정 CTR,
AGENCY_AD_DIGITAL,디지털광고 고유속성 위성,AD_PERF_DK (코어 1:1),광고,CVR_SRC,대행사 산정 CVR,FLOAT,Y,,,[비가산] 대행사 산정 CVR,
AGENCY_AD_DIGITAL,디지털광고 고유속성 위성,AD_PERF_DK (코어 1:1),광고,CPC_SRC,대행사 산정 CPC,FLOAT,Y,,,[비가산] 대행사 산정 CPC,
AGENCY_AD_DIGITAL,디지털광고 고유속성 위성,AD_PERF_DK (코어 1:1),광고,CPM_SRC,대행사 산정 CPM,FLOAT,Y,,,[비가산] 대행사 산정 CPM,
AGENCY_AD_DIGITAL,디지털광고 고유속성 위성,AD_PERF_DK (코어 1:1),광고,CPA_SRC,대행사 산정 CPA,FLOAT,Y,,,[비가산] 대행사 산정 CPA,
AGENCY_AD_DIGITAL,디지털광고 고유속성 위성,AD_PERF_DK (코어 1:1),광고,DEV_UNIT_PRICE_SRC,대행사 산정 개발단가,FLOAT,Y,,,대행사 산정 개발단가.,
AGENCY_AD_DIGITAL,디지털광고 고유속성 위성,AD_PERF_DK (코어 1:1),광고,VTR_SRC,대행사 산정 VTR (재계산 불가),FLOAT,Y,,,[비가산] 대행사 산정 VTR (재계산 불가),
AGENCY_AD_DIGITAL,디지털광고 고유속성 위성,AD_PERF_DK (코어 1:1),광고,DW_SOURCE_SYSTEM,원천 시스템 식별,VARCHAR,N,,,원천 시스템 식별 (공통감사),공통감사
AGENCY_AD_DIGITAL,디지털광고 고유속성 위성,AD_PERF_DK (코어 1:1),광고,DW_SOURCE_TABLE,원천 테이블 식별,VARCHAR,Y,,,원천 테이블 식별 (공통감사),공통감사
AGENCY_AD_DIGITAL,디지털광고 고유속성 위성,AD_PERF_DK (코어 1:1),광고,DW_LOAD_TS,최초 적재 시각,TIMESTAMP_NTZ,N,,,최초 적재 시각 (공통감사),공통감사
AGENCY_AD_DIGITAL,디지털광고 고유속성 위성,AD_PERF_DK (코어 1:1),광고,DW_UPDATE_TS,최종 갱신 시각,TIMESTAMP_NTZ,Y,,,최종 갱신 시각 (공통감사),공통감사
AGENCY_AD_DIGITAL,디지털광고 고유속성 위성,AD_PERF_DK (코어 1:1),광고,DW_BATCH_ID,적재 배치 식별자,VARCHAR,Y,,,적재 배치 식별자 = dbt invocation_id (공통감사),공통감사
AGENCY_AD_PERFORMANCE,광고성과 3소스 통합,AD_PERF_DK (소스 × 일자 × 소재 × 캠페인),광고,AD_PERF_DK,광고성과 불변키,VARCHAR,N,DK,,불변 비즈니스 식별자,
AGENCY_AD_PERFORMANCE,광고성과 3소스 통합,AD_PERF_DK (소스 × 일자 × 소재 × 캠페인),광고,AD_SOURCE_TYPE,광고 원천유형,VARCHAR,N,,,AD_SOURCE_TYPE.,
AGENCY_AD_PERFORMANCE,광고성과 3소스 통합,AD_PERF_DK (소스 × 일자 × 소재 × 캠페인),광고,SOURCE_SYSTEM,소스 시스템,VARCHAR,N,,,소스 시스템.,
AGENCY_AD_PERFORMANCE,광고성과 3소스 통합,AD_PERF_DK (소스 × 일자 × 소재 × 캠페인),광고,AD_DATE,광고 집행일자,DATE,Y,,,광고 집행일자,
AGENCY_AD_PERFORMANCE,광고성과 3소스 통합,AD_PERF_DK (소스 × 일자 × 소재 × 캠페인),광고,AD_YEAR,광고 집행연도 YYYY,"NUMBER(4,0)",Y,,,광고 집행연도 YYYY,
AGENCY_AD_PERFORMANCE,광고성과 3소스 통합,AD_PERF_DK (소스 × 일자 × 소재 × 캠페인),광고,AD_MONTH,광고 집행월 1~12,"NUMBER(2,0)",Y,,,광고 집행월 1~12,
AGENCY_AD_PERFORMANCE,광고성과 3소스 통합,AD_PERF_DK (소스 × 일자 × 소재 × 캠페인),광고,CAMPAIGN_NM,캠페인명,VARCHAR,Y,,,캠페인명,
AGENCY_AD_PERFORMANCE,광고성과 3소스 통합,AD_PERF_DK (소스 × 일자 × 소재 × 캠페인),광고,UPPER_CAMPAIGN_NM,상위 캠페인명,VARCHAR,Y,,,상위 캠페인명,
AGENCY_AD_PERFORMANCE,광고성과 3소스 통합,AD_PERF_DK (소스 × 일자 × 소재 × 캠페인),광고,MEDIA_CHANNEL_NM,매체/채널명,VARCHAR,Y,,,매체/채널명,
AGENCY_AD_PERFORMANCE,광고성과 3소스 통합,AD_PERF_DK (소스 × 일자 × 소재 × 캠페인),광고,DEVICE_NM,디바이스 (DGT만),VARCHAR,Y,,,디바이스 (DGT만),
AGENCY_AD_PERFORMANCE,광고성과 3소스 통합,AD_PERF_DK (소스 × 일자 × 소재 × 캠페인),광고,CREATIVE_NM,소재명,VARCHAR,Y,,,소재명,
AGENCY_AD_PERFORMANCE,광고성과 3소스 통합,AD_PERF_DK (소스 × 일자 × 소재 × 캠페인),광고,PROGRAM_NM,프로그램명 (REBRDC/VIDEO),VARCHAR,Y,,,프로그램명 (REBRDC/VIDEO),
AGENCY_AD_PERFORMANCE,광고성과 3소스 통합,AD_PERF_DK (소스 × 일자 × 소재 × 캠페인),광고,IMPRESSION_CNT,노출수 (DGT만),"NUMBER(38,4)",Y,,,노출수 (DGT만),
AGENCY_AD_PERFORMANCE,광고성과 3소스 통합,AD_PERF_DK (소스 × 일자 × 소재 × 캠페인),광고,CLICK_CNT,클릭수 (DGT만),"NUMBER(38,4)",Y,,,클릭수 (DGT만),
AGENCY_AD_PERFORMANCE,광고성과 3소스 통합,AD_PERF_DK (소스 × 일자 × 소재 × 캠페인),광고,CONV_MEMBER_CNT,GA 전환 명수 (DIGITAL 전용),"NUMBER(38,4)",Y,,,GA 전환 명수 (DIGITAL 전용),
AGENCY_AD_PERFORMANCE,광고성과 3소스 통합,AD_PERF_DK (소스 × 일자 × 소재 × 캠페인),광고,CONV_UNIT_CNT,GA 전환 VU/건수 (DIGITAL 전용),"NUMBER(38,4)",Y,,,GA 전환 VU/건수 (DIGITAL 전용),
AGENCY_AD_PERFORMANCE,광고성과 3소스 통합,AD_PERF_DK (소스 × 일자 × 소재 × 캠페인),광고,INBOUND_CALL_CNT,인입콜 수 (REBRDC+VIDEO),"NUMBER(38,4)",Y,,,인입콜 수 (REBRDC+VIDEO),
AGENCY_AD_PERFORMANCE,광고성과 3소스 통합,AD_PERF_DK (소스 × 일자 × 소재 × 캠페인),광고,CONV_CALL_CNT,VIDEO 전환콜,"NUMBER(38,4)",Y,,,VIDEO 전환콜,
AGENCY_AD_PERFORMANCE,광고성과 3소스 통합,AD_PERF_DK (소스 × 일자 × 소재 × 캠페인),광고,AD_CNT,광고횟수 (REBRDC/VIDEO),"NUMBER(38,4)",Y,,,광고횟수 (REBRDC/VIDEO),
AGENCY_AD_PERFORMANCE,광고성과 3소스 통합,AD_PERF_DK (소스 × 일자 × 소재 × 캠페인),광고,AD_COST,광고비 (소스별 컬럼 상이),"NUMBER(38,4)",Y,,,광고비 (소스별 컬럼 상이),
AGENCY_AD_PERFORMANCE,광고성과 3소스 통합,AD_PERF_DK (소스 × 일자 × 소재 × 캠페인),광고,COST_TYPE,비용유형 (GA/편성/집행),VARCHAR,Y,,,비용유형 (GA/편성/집행),
AGENCY_AD_PERFORMANCE,광고성과 3소스 통합,AD_PERF_DK (소스 × 일자 × 소재 × 캠페인),광고,DW_SOURCE_SYSTEM,원천 시스템 식별,VARCHAR,N,,,원천 시스템 식별 (공통감사),공통감사
AGENCY_AD_PERFORMANCE,광고성과 3소스 통합,AD_PERF_DK (소스 × 일자 × 소재 × 캠페인),광고,DW_SOURCE_TABLE,원천 테이블 식별,VARCHAR,Y,,,원천 테이블 식별 (공통감사),공통감사
AGENCY_AD_PERFORMANCE,광고성과 3소스 통합,AD_PERF_DK (소스 × 일자 × 소재 × 캠페인),광고,DW_LOAD_TS,최초 적재 시각,TIMESTAMP_NTZ,N,,,최초 적재 시각 (공통감사),공통감사
AGENCY_AD_PERFORMANCE,광고성과 3소스 통합,AD_PERF_DK (소스 × 일자 × 소재 × 캠페인),광고,DW_UPDATE_TS,최종 갱신 시각,TIMESTAMP_NTZ,Y,,,최종 갱신 시각 (공통감사),공통감사
AGENCY_AD_PERFORMANCE,광고성과 3소스 통합,AD_PERF_DK (소스 × 일자 × 소재 × 캠페인),광고,DW_BATCH_ID,적재 배치 식별자,VARCHAR,Y,,,적재 배치 식별자 = dbt invocation_id (공통감사),공통감사
AGENCY_AD_ROW_DGT,디지털광고 원천 무손실 staging,1행 (원천 staging row),광고,AD_PERF_DK,광고성과 불변키,VARCHAR,N,PK,,행 식별자 — 본 테이블이 발급 단일지점,
AGENCY_AD_ROW_DGT,디지털광고 원천 무손실 staging,1행 (원천 staging row),광고,AD_SOURCE_TYPE,광고 원천유형,VARCHAR,N,,,광고유형 상수 DIGITAL,
AGENCY_AD_ROW_DGT,디지털광고 원천 무손실 staging,1행 (원천 staging row),광고,ROW_HASH,원천 전컬럼 해시,VARCHAR,Y,,,원천 전컬럼 해시,
AGENCY_AD_ROW_DGT,디지털광고 원천 무손실 staging,1행 (원천 staging row),광고,DUP_SEQ,전컬럼 중복 그룹 내 순번,"NUMBER(9,0)",Y,,,전컬럼 중복 그룹 내 순번,
AGENCY_AD_ROW_DGT,디지털광고 원천 무손실 staging,1행 (원천 staging row),광고,TIME,시각 텍스트,VARCHAR,Y,,,[원천보존] 시각 텍스트,
AGENCY_AD_ROW_DGT,디지털광고 원천 무손실 staging,1행 (원천 staging row),광고,YEAR,연도 텍스트,VARCHAR,Y,,,[원천보존] 연도 텍스트,
AGENCY_AD_ROW_DGT,디지털광고 원천 무손실 staging,1행 (원천 staging row),광고,CPR_NM,협력사명,VARCHAR,Y,,,[원천보존] 협력사명,
AGENCY_AD_ROW_DGT,디지털광고 원천 무손실 staging,1행 (원천 staging row),광고,DMST_OVSEA_DIV_NM,국내/해외 구분,VARCHAR,Y,,,[원천보존] 국내/해외 구분,
AGENCY_AD_ROW_DGT,디지털광고 원천 무손실 staging,1행 (원천 staging row),광고,BSNS_CASE_DIV_NM,사업/사례 구분,VARCHAR,Y,,,[원천보존] 사업/사례 구분,
AGENCY_AD_ROW_DGT,디지털광고 원천 무손실 staging,1행 (원천 staging row),광고,CMPGN_TY_NM,캠페인 유형명,VARCHAR,Y,,,[원천보존] 캠페인유형명,
AGENCY_AD_ROW_DGT,디지털광고 원천 무손실 staging,1행 (원천 staging row),광고,AD_TY_NM,광고유형명,VARCHAR,Y,,,[원천보존] 광고유형명,
AGENCY_AD_ROW_DGT,디지털광고 원천 무손실 staging,1행 (원천 staging row),광고,MONTH,월 텍스트,VARCHAR,Y,,,[원천보존] 월 텍스트,
AGENCY_AD_ROW_DGT,디지털광고 원천 무손실 staging,1행 (원천 staging row),광고,DEVICE,기기 M/PC,VARCHAR,Y,,,[원천보존] 기기 M/PC,
AGENCY_AD_ROW_DGT,디지털광고 원천 무손실 staging,1행 (원천 staging row),광고,MEDIA_NM,매체명,VARCHAR,Y,,,[원천보존] 매체명,
AGENCY_AD_ROW_DGT,디지털광고 원천 무손실 staging,1행 (원천 staging row),광고,WEEK,주차 텍스트,VARCHAR,Y,,,[원천보존] 주차 텍스트,
AGENCY_AD_ROW_DGT,디지털광고 원천 무손실 staging,1행 (원천 staging row),광고,DAY,일 텍스트,VARCHAR,Y,,,[원천보존] 일 텍스트,
AGENCY_AD_ROW_DGT,디지털광고 원천 무손실 staging,1행 (원천 staging row),광고,DOW,요일 텍스트,VARCHAR,Y,,,[원천보존] 요일 텍스트,
AGENCY_AD_ROW_DGT,디지털광고 원천 무손실 staging,1행 (원천 staging row),광고,CMPGN_NM,캠페인명,VARCHAR,Y,,,[원천보존] 캠페인명,
AGENCY_AD_ROW_DGT,디지털광고 원천 무손실 staging,1행 (원천 staging row),광고,MATR,소재명,VARCHAR,Y,,,[원천보존] 소재명,
AGENCY_AD_ROW_DGT,디지털광고 원천 무손실 staging,1행 (원천 staging row),광고,MATR_TY_NM,소재유형명,VARCHAR,Y,,,[원천보존] 소재유형명,
AGENCY_AD_ROW_DGT,디지털광고 원천 무손실 staging,1행 (원천 staging row),광고,EXPS_CNT,노출수,FLOAT,Y,,,[원천보존] 노출수,
AGENCY_AD_ROW_DGT,디지털광고 원천 무손실 staging,1행 (원천 staging row),광고,CLICK_CNT,클릭수,FLOAT,Y,,,[원천보존] 클릭수,
AGENCY_AD_ROW_DGT,디지털광고 원천 무손실 staging,1행 (원천 staging row),광고,GA_AD_COST,GA 광고비,FLOAT,Y,,,[원천보존] GA 광고비,
AGENCY_AD_ROW_DGT,디지털광고 원천 무손실 staging,1행 (원천 staging row),광고,GA_CONV_MBER_CNT,GA 전환 회원수,FLOAT,Y,,,[원천보존] GA 전환 회원수,
AGENCY_AD_ROW_DGT,디지털광고 원천 무손실 staging,1행 (원천 staging row),광고,CONV_VU_CNT,GA 전환 VU수,FLOAT,Y,,,[원천보존] GA 전환 VU수,
AGENCY_AD_ROW_DGT,디지털광고 원천 무손실 staging,1행 (원천 staging row),광고,CPA,대행사 산정 CPA (비가산),FLOAT,Y,,,[원천보존] 대행사 산정 CPA (비가산),
AGENCY_AD_ROW_DGT,디지털광고 원천 무손실 staging,1행 (원천 staging row),광고,DEV_UNIT_PRICE,대행사 산정 개발단가 (비가산),FLOAT,Y,,,[원천보존] 대행사 산정 개발단가 (비가산),
AGENCY_AD_ROW_DGT,디지털광고 원천 무손실 staging,1행 (원천 staging row),광고,CTR,대행사 산정 CTR (비가산),FLOAT,Y,,,[원천보존] 대행사 산정 CTR (비가산),
AGENCY_AD_ROW_DGT,디지털광고 원천 무손실 staging,1행 (원천 staging row),광고,CVR,대행사 산정 CVR (비가산),FLOAT,Y,,,[원천보존] 대행사 산정 CVR (비가산),
AGENCY_AD_ROW_DGT,디지털광고 원천 무손실 staging,1행 (원천 staging row),광고,CPC,대행사 산정 CPC (비가산),FLOAT,Y,,,[원천보존] 대행사 산정 CPC (비가산),
AGENCY_AD_ROW_DGT,디지털광고 원천 무손실 staging,1행 (원천 staging row),광고,CPM,대행사 산정 CPM (비가산),FLOAT,Y,,,[원천보존] 대행사 산정 CPM (비가산),
AGENCY_AD_ROW_DGT,디지털광고 원천 무손실 staging,1행 (원천 staging row),광고,UPPER_CMPGN_NM,상위 캠페인명,VARCHAR,Y,,,[원천보존] 상위 캠페인명,
AGENCY_AD_ROW_DGT,디지털광고 원천 무손실 staging,1행 (원천 staging row),광고,READ_CNT,읽음수,FLOAT,Y,,,[원천보존] 읽음수,
AGENCY_AD_ROW_DGT,디지털광고 원천 무손실 staging,1행 (원천 staging row),광고,MEDIA_PTNT_CUST_CNT,매체 잠재고객수,FLOAT,Y,,,[원천보존] 매체 잠재고객수,
AGENCY_AD_ROW_DGT,디지털광고 원천 무손실 staging,1행 (원천 staging row),광고,DATE,실적일,DATE,Y,,,[원천보존] 실적일,
AGENCY_AD_ROW_DGT,디지털광고 원천 무손실 staging,1행 (원천 staging row),광고,VTR,대행사 산정 VTR (비가산),FLOAT,Y,,,[원천보존] 대행사 산정 VTR (비가산),
AGENCY_AD_ROW_DGT,디지털광고 원천 무손실 staging,1행 (원천 staging row),광고,PAGE_TYPE_NM,페이지유형,VARCHAR,Y,,,[원천보존] 페이지유형,
AGENCY_AD_ROW_DGT,디지털광고 원천 무손실 staging,1행 (원천 staging row),광고,CRM_DVLP_CNT,CRM 개발건수,FLOAT,Y,,,[원천보존] CRM 개발건수,
AGENCY_AD_ROW_DGT,디지털광고 원천 무손실 staging,1행 (원천 staging row),광고,AD_GRP_NM,광고그룹명,VARCHAR,Y,,,[원천보존] 광고그룹명,
AGENCY_AD_ROW_DGT,디지털광고 원천 무손실 staging,1행 (원천 staging row),광고,GRP_DIV_NM,그룹구분,VARCHAR,Y,,,[원천보존] 그룹구분,
