테이블명,GRAIN,테이블유형,컬럼명,타입,NULLABLE,키,FK_타깃,설명,주의_제약(DDL)
DIM_AD_CREATIVE,광고소재/매체,DIMENSION,PLATFORM_TYPE,VARCHAR,Y,,,플랫폼/매체유형(#13),
DIM_AD_CREATIVE,광고소재/매체,DIMENSION,CREATIVE,VARCHAR,Y,,,소재(#20),
DIM_AD_CREATIVE,광고소재/매체,DIMENSION,CM_POSITION,VARCHAR,Y,,,CM위치(#21),
DIM_AD_CREATIVE,광고소재/매체,DIMENSION,DURATION_SEC,"NUMBER(9,0)",Y,,,초수(#22),
DIM_AD_CREATIVE,광고소재/매체,DIMENSION,RT_TYPE,VARCHAR,Y,,,RT유형,
DIM_AD_CREATIVE,광고소재/매체,DIMENSION,AD_TYPE,VARCHAR,Y,,,광고유형,
DIM_AD_CREATIVE,광고소재/매체,DIMENSION,TARGET_GROUP,VARCHAR,Y,,,타겟그룹,
DIM_AD_CREATIVE,광고소재/매체,DIMENSION,DW_SOURCE_SYSTEM,VARCHAR,N,,,원천 시스템 식별(CRM/GA4/ERP/AGENCY/GADS/ADMIN) (공통감사),
DIM_AD_CREATIVE,광고소재/매체,DIMENSION,DW_LOAD_TS,TIMESTAMP_NTZ,N,,,최초 적재 시각 (공통감사),
DIM_AD_CREATIVE,광고소재/매체,DIMENSION,DW_UPDATE_TS,TIMESTAMP_NTZ,Y,,,최종 갱신 시각 (공통감사),
DIM_AD_CREATIVE,광고소재/매체,DIMENSION,DW_BATCH_ID,VARCHAR,Y,,,적재 배치 식별자 (공통감사),
DIM_GA_SOURCE,GA 트래픽소스,DIMENSION,GA_SOURCE_SK,"NUMBER(38,0)",N,PK,,"GA 트래픽소스 대리키 (ETL 일련번호, PK)",
DIM_GA_SOURCE,GA 트래픽소스,DIMENSION,UTM_SOURCE,VARCHAR,Y,,,source,
DIM_GA_SOURCE,GA 트래픽소스,DIMENSION,UTM_MEDIUM,VARCHAR,Y,,,medium,
DIM_GA_SOURCE,GA 트래픽소스,DIMENSION,UTM_CONTENT,VARCHAR,Y,,,세션 수동 광고 콘텐츠(#103),
DIM_GA_SOURCE,GA 트래픽소스,DIMENSION,UTM_TERM,VARCHAR,Y,,,세션 수동 검색어(#104),
DIM_GA_SOURCE,GA 트래픽소스,DIMENSION,SOURCE_MEDIUM,VARCHAR,Y,,,세션 소스/매체(#109),
DIM_GA_SOURCE,GA 트래픽소스,DIMENSION,DW_SOURCE_SYSTEM,VARCHAR,N,,,원천 시스템 식별(CRM/GA4/ERP/AGENCY/GADS/ADMIN) (공통감사),
DIM_GA_SOURCE,GA 트래픽소스,DIMENSION,DW_LOAD_TS,TIMESTAMP_NTZ,N,,,최초 적재 시각 (공통감사),
DIM_GA_SOURCE,GA 트래픽소스,DIMENSION,DW_UPDATE_TS,TIMESTAMP_NTZ,Y,,,최종 갱신 시각 (공통감사),
DIM_GA_SOURCE,GA 트래픽소스,DIMENSION,DW_BATCH_ID,VARCHAR,Y,,,적재 배치 식별자 (공통감사),
DIM_GA_EVENT,GA 이벤트분류,DIMENSION,GA_EVENT_SK,"NUMBER(38,0)",N,PK,,"GA 이벤트 대리키 (ETL 일련번호, PK)",
DIM_GA_EVENT,GA 이벤트분류,DIMENSION,EVENT_CATEGORY,VARCHAR,Y,,,(#99),
DIM_GA_EVENT,GA 이벤트분류,DIMENSION,EVENT_LABEL,VARCHAR,Y,,,(#100),
DIM_GA_EVENT,GA 이벤트분류,DIMENSION,EVENT_ACTION,VARCHAR,Y,,,(#101),
DIM_GA_EVENT,GA 이벤트분류,DIMENSION,DW_SOURCE_SYSTEM,VARCHAR,N,,,원천 시스템 식별(CRM/GA4/ERP/AGENCY/GADS/ADMIN) (공통감사),
DIM_GA_EVENT,GA 이벤트분류,DIMENSION,DW_LOAD_TS,TIMESTAMP_NTZ,N,,,최초 적재 시각 (공통감사),
DIM_GA_EVENT,GA 이벤트분류,DIMENSION,DW_UPDATE_TS,TIMESTAMP_NTZ,Y,,,최종 갱신 시각 (공통감사),
DIM_GA_EVENT,GA 이벤트분류,DIMENSION,DW_BATCH_ID,VARCHAR,Y,,,적재 배치 식별자 (공통감사),
DIM_SERVICE,1서비스,DIMENSION,SERVICE_SK,"NUMBER(38,0)",N,PK,,"서비스 대리키 (ETL 일련번호, PK)",
DIM_SERVICE,1서비스,DIMENSION,SEND_TYPE_L,VARCHAR,Y,,,발송구분 대(#133),
DIM_SERVICE,1서비스,DIMENSION,SEND_TYPE_M,VARCHAR,Y,,,발송구분 중(#134),
DIM_SERVICE,1서비스,DIMENSION,SEND_TYPE_S,VARCHAR,Y,,,발송구분 소(#135),
DIM_SERVICE,1서비스,DIMENSION,SUBTYPE,VARCHAR,Y,,,발송/참여 subtype,
DIM_SERVICE,1서비스,DIMENSION,CHANNEL,VARCHAR,Y,,,CRM_UMS / ADMIN,
DIM_SERVICE,1서비스,DIMENSION,DW_SOURCE_SYSTEM,VARCHAR,N,,,원천 시스템 식별(CRM/GA4/ERP/AGENCY/GADS/ADMIN) (공통감사),
DIM_SERVICE,1서비스,DIMENSION,DW_LOAD_TS,TIMESTAMP_NTZ,N,,,최초 적재 시각 (공통감사),
DIM_SERVICE,1서비스,DIMENSION,DW_UPDATE_TS,TIMESTAMP_NTZ,Y,,,최종 갱신 시각 (공통감사),
DIM_SERVICE,1서비스,DIMENSION,DW_BATCH_ID,VARCHAR,Y,,,적재 배치 식별자 (공통감사),
DIM_PAYMENT,납입×결제×회비유형,DIMENSION,PAYMENT_SK,"NUMBER(38,0)",N,PK,,"납입/결제 대리키 (ETL 일련번호, PK)",
DIM_PAYMENT,납입×결제×회비유형,DIMENSION,PAYMENT_METHOD,VARCHAR,Y,,,납입방식(#125),
DIM_PAYMENT,납입×결제×회비유형,DIMENSION,SETTLE_METHOD,VARCHAR,Y,,,결제방식,
DIM_PAYMENT,납입×결제×회비유형,DIMENSION,FEE_TYPE,VARCHAR,Y,,,회비유형(정기/일시 — #66~68 분해),
DIM_PAYMENT,납입×결제×회비유형,DIMENSION,DW_SOURCE_SYSTEM,VARCHAR,N,,,원천 시스템 식별(CRM/GA4/ERP/AGENCY/GADS/ADMIN) (공통감사),
DIM_PAYMENT,납입×결제×회비유형,DIMENSION,DW_LOAD_TS,TIMESTAMP_NTZ,N,,,최초 적재 시각 (공통감사),
DIM_PAYMENT,납입×결제×회비유형,DIMENSION,DW_UPDATE_TS,TIMESTAMP_NTZ,Y,,,최종 갱신 시각 (공통감사),
DIM_PAYMENT,납입×결제×회비유형,DIMENSION,DW_BATCH_ID,VARCHAR,Y,,,적재 배치 식별자 (공통감사),
DIM_REASON,사유코드,DIMENSION,REASON_SK,"NUMBER(38,0)",N,PK,,"사유 대리키 (ETL 일련번호, PK)",
DIM_REASON,사유코드,DIMENSION,REASON_CODE,VARCHAR,N,BK,,"사유코드(BK, 업무키)",
DIM_REASON,사유코드,DIMENSION,REASON_NAME,VARCHAR,Y,,,중단사유(#162)·미납사유(#82),
DIM_REASON,사유코드,DIMENSION,REASON_TYPE,VARCHAR,Y,,,중단 / 미납 구분,
DIM_REASON,사유코드,DIMENSION,DW_SOURCE_SYSTEM,VARCHAR,N,,,원천 시스템 식별(CRM/GA4/ERP/AGENCY/GADS/ADMIN) (공통감사),
DIM_REASON,사유코드,DIMENSION,DW_LOAD_TS,TIMESTAMP_NTZ,N,,,최초 적재 시각 (공통감사),
DIM_REASON,사유코드,DIMENSION,DW_UPDATE_TS,TIMESTAMP_NTZ,Y,,,최종 갱신 시각 (공통감사),
DIM_REASON,사유코드,DIMENSION,DW_BATCH_ID,VARCHAR,Y,,,적재 배치 식별자 (공통감사),
DIM_DEVICE,1디바이스,DIMENSION,DEVICE_SK,"NUMBER(38,0)",N,PK,,"디바이스 대리키 (ETL 일련번호, PK)",
DIM_DEVICE,1디바이스,DIMENSION,DEVICE_TYPE,VARCHAR,Y,,,PC / M / APP,
DIM_DEVICE,1디바이스,DIMENSION,DW_SOURCE_SYSTEM,VARCHAR,N,,,원천 시스템 식별(CRM/GA4/ERP/AGENCY/GADS/ADMIN) (공통감사),
DIM_DEVICE,1디바이스,DIMENSION,DW_LOAD_TS,TIMESTAMP_NTZ,N,,,최초 적재 시각 (공통감사),
DIM_DEVICE,1디바이스,DIMENSION,DW_UPDATE_TS,TIMESTAMP_NTZ,Y,,,최종 갱신 시각 (공통감사),
DIM_DEVICE,1디바이스,DIMENSION,DW_BATCH_ID,VARCHAR,Y,,,적재 배치 식별자 (공통감사),
DIM_EVENT,1행사/이벤트,DIMENSION,EVENT_SK,"NUMBER(38,0)",N,PK,,"행사 대리키 (ETL 일련번호, PK)",
DIM_EVENT,1행사/이벤트,DIMENSION,EVENT_BK,VARCHAR,N,BK,,"행사 업무키(BK, 자연키)",
DIM_EVENT,1행사/이벤트,DIMENSION,EVENT_KIND,VARCHAR,Y,,,온라인/오프라인,
DIM_EVENT,1행사/이벤트,DIMENSION,EVENT_CATEGORY,VARCHAR,Y,,,행사구분,
DIM_EVENT,1행사/이벤트,DIMENSION,EVENT_NAME,VARCHAR,Y,,,행사명,
DIM_EVENT,1행사/이벤트,DIMENSION,EVENT_START_DATE,DATE,Y,,,행사기간 시작(05 3-6),
DIM_EVENT,1행사/이벤트,DIMENSION,EVENT_END_DATE,DATE,Y,,,행사기간 종료(05 3-6),
DIM_EVENT,1행사/이벤트,DIMENSION,APPLY_CHANNEL,VARCHAR,Y,,,신청경로,
DIM_EVENT,1행사/이벤트,DIMENSION,DW_SOURCE_SYSTEM,VARCHAR,N,,,원천 시스템 식별(CRM/GA4/ERP/AGENCY/GADS/ADMIN) (공통감사),
DIM_EVENT,1행사/이벤트,DIMENSION,DW_LOAD_TS,TIMESTAMP_NTZ,N,,,최초 적재 시각 (공통감사),
DIM_EVENT,1행사/이벤트,DIMENSION,DW_UPDATE_TS,TIMESTAMP_NTZ,Y,,,최종 갱신 시각 (공통감사),
DIM_EVENT,1행사/이벤트,DIMENSION,DW_BATCH_ID,VARCHAR,Y,,,적재 배치 식별자 (공통감사),
DIM_BUDGET_ITEM,예산 세세목,DIMENSION,BUDGET_ITEM_SK,"NUMBER(38,0)",N,PK,,"예산 세세목 대리키 (ETL 일련번호, PK)",
DIM_BUDGET_ITEM,예산 세세목,DIMENSION,BUDGET_ITEM_NAME,VARCHAR,Y,,,세세목명,
DIM_BUDGET_ITEM,예산 세세목,DIMENSION,BUDGET_CATEGORY,VARCHAR,Y,,,예산구분,
DIM_BUDGET_ITEM,예산 세세목,DIMENSION,DW_SOURCE_SYSTEM,VARCHAR,N,,,원천 시스템 식별(CRM/GA4/ERP/AGENCY/GADS/ADMIN) (공통감사),
DIM_BUDGET_ITEM,예산 세세목,DIMENSION,DW_LOAD_TS,TIMESTAMP_NTZ,N,,,최초 적재 시각 (공통감사),
DIM_BUDGET_ITEM,예산 세세목,DIMENSION,DW_UPDATE_TS,TIMESTAMP_NTZ,Y,,,최종 갱신 시각 (공통감사),
DIM_BUDGET_ITEM,예산 세세목,DIMENSION,DW_BATCH_ID,VARCHAR,Y,,,적재 배치 식별자 (공통감사),
FACT_MEMBER_MONTHLY,MONTH_KEY × MEMBER_DK,FACT,MONTH_KEY,"NUMBER(6,0)",N,"GRAIN, FK→DIM_DATE",DIM_DATE(MONTH_KEY) ※비강제(월conform/비유일),YYYYMM,"타입(6,0)≠DATE_SK(8,0) — DIM_DATE 월초행/월 conform 뷰 경유 조인; FMM PK/UNIQUE 미설정 — grain 미확정·ETL 멱등성 의존(O8)"
FACT_MEMBER_MONTHLY,MONTH_KEY × MEMBER_DK,FACT,MEMBER_DK,VARCHAR(10),N,"GRAIN, FK→DIM_MEMBER",DIM_MEMBER(MEMBER_DK) ※비강제(SCD2/비유일),"월 스냅샷 대상 회원 (불변키, FK→DIM_MEMBER)",SCD2 다중버전 — 현재행(IS_CURRENT) 경유 조인(중복 주의); FMM PK/UNIQUE 미설정 — grain 미확정·ETL 멱등성 의존(O8); [실측06-30]VARCHAR(10)
FACT_MEMBER_MONTHLY,MONTH_KEY × MEMBER_DK,FACT,CAMPAIGN_SK,"NUMBER(38,0)",Y,FK→DIM_CAMPAIGN,DIM_CAMPAIGN(CAMPAIGN_SK),캠페인 (FK→DIM_CAMPAIGN),
FACT_MEMBER_MONTHLY,MONTH_KEY × MEMBER_DK,FACT,SPONSORSHIP_SK,"NUMBER(38,0)",Y,FK→DIM_SPONSORSHIP,DIM_SPONSORSHIP(SPONSORSHIP_SK),후원사업 (FK→DIM_SPONSORSHIP),
FACT_MEMBER_MONTHLY,MONTH_KEY × MEMBER_DK,FACT,PAYMENT_SK,"NUMBER(38,0)",Y,FK→DIM_PAYMENT,DIM_PAYMENT(PAYMENT_SK),납입/결제 유형 (FK→DIM_PAYMENT),
FACT_MEMBER_MONTHLY,MONTH_KEY × MEMBER_DK,FACT,REASON_SK,"NUMBER(38,0)",Y,FK→DIM_REASON,DIM_REASON(REASON_SK),중단/미납 사유 (FK→DIM_REASON),
FACT_MEMBER_MONTHLY,MONTH_KEY × MEMBER_DK,FACT,DEV_CNT,"NUMBER(18,4)",Y,,,개발(건) SUM(금액)/10000 (#4·5·149),
FACT_MEMBER_MONTHLY,MONTH_KEY × MEMBER_DK,FACT,DEV_MEMBERS,"NUMBER(38,0)",Y,,,개발(명) COUNT (#148),
FACT_MEMBER_MONTHLY,MONTH_KEY × MEMBER_DK,FACT,STOP_CNT,"NUMBER(18,4)",Y,,,"중단(건) (#35, FME 롤업)",
FACT_MEMBER_MONTHLY,MONTH_KEY × MEMBER_DK,FACT,UNPAID_CNT,"NUMBER(18,4)",Y,,,미납(건) (#36),미납 정의[C-3]: PAY_STAT_CD='F' OR NULL (납입기준; 회원상태 MM010 미납과 구분)
FACT_MEMBER_MONTHLY,MONTH_KEY × MEMBER_DK,FACT,ACTIVE_CNT,"NUMBER(18,4)",Y,,,활동(건) (#37·157),
FACT_MEMBER_MONTHLY,MONTH_KEY × MEMBER_DK,FACT,ACTIVE_MEMBERS,"NUMBER(38,0)",Y,,,활동(명) (#156),
FACT_MEMBER_MONTHLY,MONTH_KEY × MEMBER_DK,FACT,ACTIVE_CUM_CNT,"NUMBER(18,4)",Y,,,활동누계(건) (#159),
FACT_MEMBER_MONTHLY,MONTH_KEY × MEMBER_DK,FACT,ACTIVE_CUM_MEMBERS,"NUMBER(38,0)",Y,,,활동누계(명) (#158),
FACT_MEMBER_MONTHLY,MONTH_KEY × MEMBER_DK,FACT,INCREASE_CNT,"NUMBER(18,4)",Y,,,증액(건) (#151),
FACT_MEMBER_MONTHLY,MONTH_KEY × MEMBER_DK,FACT,INCREASE_MEMBERS,"NUMBER(38,0)",Y,,,증액(명) (#150),
FACT_MEMBER_MONTHLY,MONTH_KEY × MEMBER_DK,FACT,DECREASE_CNT,"NUMBER(18,4)",Y,,,감액(건) SUM(감액금액)/10000 (#38),
FACT_MEMBER_MONTHLY,MONTH_KEY × MEMBER_DK,FACT,CHURN_CNT,"NUMBER(18,4)",Y,,,이탈(건) SUM(취소+감액)/10000 (신규#20),
FACT_MEMBER_MONTHLY,MONTH_KEY × MEMBER_DK,FACT,YEAR_START_ACTIVE_CNT,"NUMBER(18,4)",Y,,,연도초 활동회원(건) (#49),
